date, Energy Generated,Energy Used,percent Energy Used,Average Generation,Lowest Generation,Highest Generation,CO2 Emissions Saved
08:02:17,160.380,115.861, 72.24 ,13.888,0.000,5.890,171.607
07:02:17,158.590,110.956, 69.96 ,13.541,0.000,4.735,169.691
06:02:17,160.008,116.775, 72.98 ,13.521,0.000,6.076,171.209
05:02:17,161.822,111.035, 68.62 ,13.595,0.000,5.409,173.150
04:02:17,186.182,110.707, 59.46 ,15.572,0.000,5.720,199.214
03:02:17,186.379,118.970, 63.83 ,15.556,0.000,5.966,199.426
02:02:17,202.393,129.718, 64.09 ,16.878,0.000,6.339,216.560
01:02:17,172.158,128.399, 74.58 ,14.346,0.000,6.573,184.209
31:01:17,174.347,131.268, 75.29 ,14.452,0.000,6.617,186.551
30:01:17,157.128,124.776, 79.41 ,13.007,0.000,4.910,168.127
29:01:17,195.353,111.528, 57.09 ,16.187,0.000,6.046,209.028
28:01:17,197.996,118.125, 59.66 ,16.368,0.000,4.425,211.855
27:01:17,172.924,108.497, 62.74 ,14.336,0.000,2.432,185.028
26:01:17,201.525,110.850, 55.01 ,16.737,0.000,6.040,215.632
25:01:17,187.698,116.573, 62.11 ,15.658,0.000,6.428,200.837
24:01:17,184.210,114.986, 62.42 ,15.393,0.000,6.869,197.105
23:01:17,158.826,115.020, 72.42 ,13.258,0.000,5.222,169.944
22:01:17,177.681,104.650, 58.90 ,14.888,0.000,2.938,190.119
21:01:17,173.905,131.645, 75.70 ,14.515,0.000,2.564,186.079
20:01:17,167.096,128.949, 77.17 ,14.033,0.000,3.344,178.793
19:01:17,171.243,125.806, 73.47 ,14.394,0.000,3.198,183.230
18:01:17,177.484,120.110, 67.67 ,15.564,0.000,6.698,189.908
17:01:17,177.278,120.349, 67.89 ,15.762,0.000,6.271,189.688
16:01:17,174.564,98.235, 56.27 ,15.647,0.000,5.152,186.783
15:01:17,135.110,100.474, 74.36 ,12.197,0.000,3.024,144.568
14:01:17,172.973,97.820, 56.55 ,15.297,0.000,6.351,185.081
13:01:17,164.036,109.410, 66.70 ,13.832,0.000,5.702,175.519
12:01:17,173.588,117.634, 67.77 ,14.504,0.000,5.595,185.739
11:01:17,180.246,120.995, 67.13 ,15.182,0.000,5.069,192.863
10:01:17,165.617,117.876, 71.17 ,13.979,0.000,5.848,177.210
09:01:17,151.431,114.734, 75.77 ,12.916,0.000,5.880,162.031
08:01:17,160.156,108.364, 67.66 ,13.660,0.000,5.056,171.367
07:01:17,148.763,117.368, 78.90 ,12.715,0.000,2.976,159.177
06:01:17,179.064,115.274, 64.38 ,15.154,0.000,4.175,191.598